max_change,min_change,start,end,amount,turn,change,up_count,down_count,name,industry,class
0.99,-1.13,11.18,11.33,339006.15654320986,4.956342716049383,3.61,219,186,华微电子,半导体,0
0.9,-1.04,10.6,10.7,438169.2184914841,5.795219464720193,3.44,225,186,北信源,软件服务,0
2.08,-2.25,24.24,24.18,396338.7632603406,0.7150454987834549,3.32,202,209,国电南瑞,电气设备,0
0.72,-0.79,8.37,8.47,252500.6892944039,4.515402433090023,3.25,225,186,高鸿股份,软件服务,0
2.68,-2.49,30.4,31.17,253215.39975669092,3.4641725060827246,3.25,204,207,超图软件,软件服务,0
3.48,-1.22,13.99,13.5,280108.9641025641,25.68105897435897,3.18,20,19,锦和商业,房产服务,0
1.41,-1.71,19.64,19.65,274484.01630170323,0.7202742092457421,3.14,225,186,恒力石化,化纤,0
1.57,-1.57,19.0,18.65,295047.84975,3.2968495000000004,3.13,210,190,中船科技,船舶,0
1.77,-1.87,20.79,19.45,344175.5114914425,2.2040481662591684,3.04,215,194,易见股份,仓储物流,0
1.87,-1.89,19.8,20.61,308475.6204379562,2.6064956204379564,3.04,204,207,东方国信,软件服务,0
1.17,-1.18,12.49,12.83,473499.9304136253,3.950045255474453,2.99,207,204,浙商证券,证券,0
1.5,-1.51,15.9,16.47,258758.95961070558,3.9469944038929436,2.99,220,191,华昌化工,农药化肥,0
1.09,-1.17,13.72,13.29,340163.75352798053,7.361363990267639,2.98,212,199,力源信息,元器件,0
0.67,-0.5700000000000001,7.97,7.49,314578.7228710462,2.33762700729927,2.84,220,191,掌趣科技,互联网,0
0.59,-0.62,19.4,19.52,353990.899270073,0.12159367396593675,2.8,215,196,长江电力,水力发电,0
1.13,-1.15,12.6,12.58,426185.9841849149,3.465464720194648,2.76,209,202,深康佳A,家用电器,0
1.56,-1.45,18.89,17.78,355309.9642335767,2.7819447688564485,2.73,206,205,海正药业,化学制药,0
