industry,name,max_change,min_change,start,end,amount,turn,change,up_count,down_count
电气设备,鲁亿通,2.99,-2.85,31.69,32.84,67193.96834549878,2.1929841849148417,5.76,206,205
电气设备,红相股份,2.05,-2.25,21.21,22.5,94448.11019704434,2.3631327586206896,5.74,209,197
食品,华宝股份,3.94,-4.18,47.28,47.16,59438.27226277372,2.2880513381995136,5.73,215,196
化工原料,龙蟒佰利,1.56,-1.62,19.29,19.19,190810.19732360097,1.1581345498783455,5.72,214,197
软件服务,飞天诚信,1.66,-1.69,18.35,18.81,168659.31508515816,5.271311192214111,5.7,215,196
IT设备,民德电子,2.47,-2.73,29.44,28.64,37047.93340632604,3.195195620437956,5.7,214,197
家居用品,皮阿诺,1.98,-2.39,26.1,25.63,43740.246934306575,3.6476228710462286,5.69,219,192
电气设备,科士达,1.23,-1.57,16.33,16.08,116343.10364963504,1.929746715328467,5.69,215,196
特种钢,永兴材料,1.73,-2.03,25.91,24.3,60661.57369829684,1.9475053527980537,5.67,212,199
水泥,宁夏建材,1.07,-1.03,15.6,15.64,102978.74671532848,2.0131518248175184,5.64,229,182
机械基件,昊志机电,1.16,-1.39,15.58,15.6,53850.82829683698,3.3568289537712896,5.62,218,193
元器件,中京电子,1.26,-1.69,18.07,18.18,130528.60274314215,2.9688159600997506,5.62,216,185
元器件,联创光电,1.25,-1.52,16.24,16.49,138220.32839416058,2.4798250608272507,5.6,221,190
饲料,天邦股份,1.84,-2.02,22.0,22.2,581085.54641604,4.564724812030075,5.6,205,194
航空,航发科技,2.07,-2.39,23.4,23.9,166567.95182481752,2.9817693430656935,5.59,212,199
软件服务,新晨科技,2.03,-1.7000000000000002,22.09,22.5,117005.47635036496,7.757174939172749,5.59,222,189
软件服务,高伟达,1.45,-1.63,16.29,17.01,237434.6880778589,5.089922384428223,5.57,214,197
食品,安记食品,1.59,-1.7000000000000002,17.23,17.6,66065.24922141118,2.987691727493917,5.57,214,197
医药商业,润达医疗,0.97,-1.27,14.3,14.38,89244.23341463416,1.5853100000000002,5.57,214,196
白酒,口子窖,5.55,-6.42,66.65,66.57,242335.400486618,0.8270936739659368,5.57,208,203
影视音像,天威视讯,1.01,-1.13,11.23,11.29,74286.14751824818,1.3577936739659366,5.56,219,192
银行,招商银行,1.89,-1.83,39.55,39.4,1725717.1532846715,0.2506211678832117,5.54,207,204
软件服务,和仁科技,6.35,-6.59,70.51,69.8,54290.15756690997,2.9081262773722627,5.52,203,208
区域地产,鲁商发展,0.99,-1.12,11.2,11.24,163776.63783454988,2.2732221411192213,5.51,254,157
汽车配件,潍柴动力,1.25,-1.35,16.2,16.42,719539.2695863748,1.3970017031630169,5.5,208,203
化学制药,海普瑞,2.19,-2.63,28.2,27.68,137829.23503649636,0.5119576642335767,5.5,205,206
家居用品,志邦家居,3.15,-3.28,42.77,42.93,63354.23834549879,2.486726277372263,5.48,195,216
专用机械,青鸟消防,7.63,-2.61,40.22,37.2,93452.00188405797,5.271691787439614,5.42,112,95
装修装饰,海南发展,0.92,-0.63,10.4,10.35,76161.53720194647,1.4740815085158152,5.41,227,184
百货,新世界,1.08,-1.01,13.03,12.91,30121.327931873482,0.5853019464720195,5.41,229,182
通信设备,海格通信,1.22,-1.19,13.75,13.77,352853.5389294404,1.5639194647201946,5.41,225,186
造纸,博汇纸业,0.72,-0.6900000000000001,9.74,9.69,90215.79529268293,1.2535163414634145,5.4,223,187
化学制药,广生堂,3.51,-4.27,42.76,42.75,70420.18187347932,1.846077128953771,5.38,202,209
元器件,同兴达,2.32,-2.06,24.89,25.51,109310.07693430656,7.102452311435523,5.38,203,208
家用电器,创维数字,1.4,-1.49,16.1,16.2,203286.98929440387,1.8942403892944037,5.38,216,195
饲料,大北农,0.8300000000000001,-0.71,9.83,9.92,727825.2467980295,3.902875862068965,5.36,213,193
电器仪表,香山股份,2.88,-3.17,31.66,31.66,68175.89201946472,7.65612214111922,5.35,212,199
仓储物流,嘉友国际,4.64,-4.37,54.8,54.7,35374.82705596107,3.0144486618004867,5.33,211,200
百货,重庆百货,2.5700000000000003,-2.77,38.91,39.32,121442.44268292683,1.0171651219512194,5.33,193,217
农业综合,新农开发,1.08,-1.07,11.41,11.85,167144.5017761557,6.138464720194648,5.33,218,193
元器件,麦捷科技,1.22,-1.55,15.56,15.9,243847.1445812808,4.0420682266009855,5.32,213,193
专用机械,君禾股份,2.05,-2.13,23.15,23.5,45465.732725060836,6.828620194647201,5.32,218,193
通信设备,特发信息,1.6800000000000002,-1.88,19.44,19.2,406417.4790754257,4.717896107055961,5.31,210,201
种植业,登海种业,1.29,-1.23,13.9,14.27,282386.8549878346,3.2421489051094894,5.31,220,191
化学制药,灵康药业,1.21,-0.95,13.98,13.95,33477.00807785888,0.725561800486618,5.31,225,186
陶瓷,开尔新材,1.3,-1.1,14.6,14.9,59098.8907542579,3.31079294403893,5.3,215,196
普钢,杭钢股份,0.85,-0.55,10.51,10.5,131980.3857920792,0.6915821782178218,5.3,222,182
软件服务,石基信息,3.66,-4.29,45.0,44.8,209303.84355231145,1.2704452554744525,5.28,200,211
汽车整车,一汽解放,1.12,-1.05,12.57,12.65,150007.74262499998,1.2626669999999998,5.26,210,190
黄金,赤峰黄金,0.93,-0.75,10.28,10.27,460123.1938271605,5.043585679012345,5.24,215,190
铝,四通新材,1.64,-1.71,18.65,18.75,58799.3498019802,2.892163861386139,5.23,202,202
电器仪表,大华股份,1.67,-2.01,22.35,22.39,847972.7432762836,2.852271638141809,5.22,209,200
农业综合,宏辉果蔬,1.95,-2.01,23.0,23.84,174113.04476885646,9.491939659367397,5.22,222,189
区域地产,万通地产,0.68,-0.6000000000000001,8.95,9.0,42305.70277372263,0.4298727493917275,5.18,238,173
专用机械,创元科技,1.1,-1.29,13.2,13.11,68013.04846715329,1.9659895377128953,5.16,232,179
电器仪表,汉威科技,1.76,-1.64,19.39,19.39,169177.40693430658,5.110396107055961,5.15,215,196
化学制药,新华制药,1.06,-1.22,12.4,12.65,69782.81282238443,1.951624087591241,5.14,210,201
百货,鄂武商A,1.26,-1.11,14.42,14.9,86424.27250608272,0.9998931873479319,5.12,224,187
证券,天风证券,1.13,-1.24,11.75,12.43,828258.2192982456,11.710130576441102,5.12,204,195
软件服务,华东电脑,2.7,-2.94,32.65,31.44,146576.16569343064,1.439648175182482,5.11,228,183
证券,华创阳安,1.53,-1.5,18.05,18.57,378123.16131386865,2.372387591240876,5.07,211,200
机床制造,宇晶股份,7.75,-4.68,49.12,46.77,134799.66620478724,13.752143882978723,5.07,197,179
化工原料,硅宝科技,1.01,-1.08,11.88,11.77,43910.62992700729,1.881533333333333,5.05,212,199
专用机械,蓝英装备,1.23,-1.35,13.53,13.53,82017.28530413625,3.065496593673966,5.05,211,200
农药化肥,广信股份,1.83,-1.61,22.12,20.11,51584.780559610714,0.7412360097323601,5.05,214,197
水力发电,西昌电力,0.98,-0.92,11.11,11.17,35899.456447688564,1.2312260340632604,5.03,220,191
元器件,天津普林,1.17,-1.34,13.59,13.45,77323.96299270073,3.3105783454987834,4.99,231,180
塑料,裕兴股份,0.87,-0.79,11.29,11.17,16732.18508515815,0.8401922141119221,4.99,220,191
汽车配件,宁波华翔,2.17,-2.42,26.18,26.3,202669.56082725062,2.3226900243309005,4.98,209,202
全国地产,万科A,1.94,-2.35,32.9,33.48,1631057.3552311435,0.6071734793187348,4.98,206,205
元器件,共达电声,1.58,-1.63,17.22,17.38,231438.50197560972,5.5458453658536575,4.97,209,201
文教休闲,创源文化,1.61,-1.66,18.24,17.75,58112.17591240876,4.922382725060827,4.97,224,187
纺织,欣龙控股,1.28,-1.25,14.0,14.04,279314.7774452555,6.474184428223844,4.96,221,190
医疗保健,盈康生命,1.03,-1.08,15.6,15.78,53872.70321167884,1.1575350364963504,4.94,201,210
中成药,华润三九,3.55,-3.25,39.34,39.31,162858.2428223844,0.5583075425790754,4.91,216,195
多元金融,鲁信创投,2.61,-2.77,28.0,28.72,353066.2257907542,2.6002515815085157,4.87,216,195
运输设备,天宜上佳,19.71,-5.94,58.72,58.7,150984.6221719457,9.072729864253393,4.87,108,113
元器件,太辰光,2.55,-3.2,36.0,36.24,148158.02676399026,5.706893673965937,4.86,203,208
全国地产,金地集团,1.22,-1.25,15.41,15.67,335072.79270073,0.5978922141119222,4.84,202,209
互联网,天龙集团,0.65,-0.6000000000000001,7.92,8.15,106915.74850374064,4.150603740648379,4.83,220,181
医药商业,国药一致,4.59,-3.16,56.0,53.04,96727.06618004867,0.6589394160583942,4.79,196,215
软件服务,中远海科,1.5,-1.65,16.3,16.47,88378.10554744526,2.391718248175182,4.77,234,177
造纸,顺灏股份,2.01,-1.82,22.01,22.1,456889.3662530413,5.289472262773723,4.76,219,192
化学制药,复旦复华,1.33,-1.47,15.79,14.74,394248.97501216544,5.637936496350364,4.73,220,191
汽车配件,爱柯迪,1.31,-1.4,15.61,15.82,38371.75131386861,1.4242274939172745,4.72,219,192
影视音像,中视传媒,2.24,-1.92,24.63,24.64,126349.78520681265,2.0788420924574207,4.7,213,198
专用机械,新元科技,2.35,-2.55,26.08,26.17,46956.083649635046,2.426080291970803,4.7,209,202
玻璃,金刚玻璃,1.16,-1.33,13.28,13.31,57672.470072992706,2.9698182481751823,4.68,220,191
元器件,徕木股份,1.26,-1.17,14.35,14.33,38194.6693187348,2.209311922141119,4.67,217,194
电气设备,爱旭股份,0.74,-1.16,11.67,11.71,57075.085201474205,1.6356570024570025,4.66,220,187
元器件,福日电子,1.18,-1.3,14.22,12.98,117563.1209002433,3.6685381995133817,4.66,215,196
家居用品,大亚圣象,1.49,-1.31,17.49,17.49,90839.67177615571,1.3231866180048661,4.66,200,211
